,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
58,58,[[1574501]],[[32983040]],[7892601.025035294],[11135356.662809836],[11058424.589889988],[21646270.987518877],[49287228.54157404],[1348490561.3987422],[4265328434.4488955],[5435706283.089314],[0.7087874474102133],[0.036549924747304216],[0.5108697288445764],[0.784687069593604]
59,59,[[1314125]],[[33007616]],[7873395.321572999],[10892438.535702053],[10818706.358035842],[20888549.409037624],[47565896.27316258],[1368568795.8650632],[4322976548.541332],[5530085291.872454],[0.7228312829828176],[0.034755940963199075],[0.5179252108983226],[0.7817196879214133]
60,60,[[6484762]],[[32960512]],[8275949.464301917],[15825383.955357978],[15744923.265581923],[40782735.65866371],[93555156.78970438],[1482863737.2435384],[4763679704.60001],[5492270574.81739],[0.5229541025764459],[0.06309086562708179],[0.38606834512920024],[0.8673425024691896]
61,61,[[3726966]],[[32976896]],[7387226.812984024],[13149580.077335775],[13078248.091526864],[31855033.52378478],[71164610.59359555],[1440116890.8840203],[4576172755.219115],[5471191561.518657],[0.5617842371800472],[0.049415857173865194],[0.4105551507821174],[0.8364124530761069]
62,62,[[2642414]],[[32960512]],[7498360.215020755],[12150816.081280546],[12079226.717994101],[26788563.304417197],[60518515.06088011],[1415409348.0560937],[4478281975.1568165],[5490348285.560404],[0.6171075395151995],[0.04275689936907335],[0.45090983718422645],[0.8156644610205662]
63,63,[[2017642]],[[32983040]],[7267214.003867305],[11412770.206114244],[11341649.389175784],[25122298.752780236],[55798280.40166849],[1409763733.8686655],[4449635266.178508],[5511867219.661675],[0.636761616384249],[0.03957988069997174],[0.4514574681554818],[0.8072827390155511]
64,64,[[1622266]],[[32952320]],[7510824.304707762],[10919024.197688548],[10843119.887725875],[23485404.18091384],[52428400.18069929],[1384518863.7698934],[4365511635.401058],[5490550258.223171],[0.6878658906441228],[0.03786759541718521],[0.4616961157746598],[0.7950954695046917]
65,65,[[1345954]],[[32929792]],[7586714.195803617],[10607152.26204241],[10533432.866957467],[22434491.36671307],[50195152.13528184],[1377535749.105513],[4339740312.166781],[5508174182.624554],[0.715245148592106],[0.03643836624049538],[0.46951957567383645],[0.78787274481196]
66,66,[[6404326]],[[32933888]],[7790183.5936950715],[15479050.701072764],[15402116.209576001],[41092253.91213328],[97058634.11697635],[1481732442.9669776],[4752611430.189305],[5535054832.988158],[0.5032726970236734],[0.06550348180446733],[0.37481799471282423],[0.8586385453427491]
67,67,[[3709806]],[[32915456]],[6923172.195039485],[12652604.730232948],[12585839.527860064],[33387026.91386492],[75756049.16712992],[1437911392.637724],[4557086228.855548],[5527708514.56771],[0.5471736723503905],[0.05268478263334572],[0.3769679630453538],[0.8244078385909485]
68,68,[[2627058]],[[32944128]],[6952932.686368135],[11689606.486579452],[11619519.043993343],[29399420.700144943],[65821228.29916039],[1413311674.468209],[4456180129.952098],[5495910906.674803],[0.5947961288817228],[0.04657233750221949],[0.3952295238231023],[0.8108173887134982]
69,69,[[1989230]],[[32956416]],[6924800.684988137],[10890028.479269717],[10819431.050994596],[27424977.13801452],[60648473.431067936],[1385553500.5445535],[4358296537.850718],[5477428807.706878],[0.6358845340184559],[0.04377201848014655],[0.39451012106761185],[0.795682918182065]
70,70,[[1587908]],[[32958464]],[7428370.788969587],[10697053.211327417],[10621175.611181581],[25903089.378328606],[56962142.862967044],[1368876681.1676052],[4303404575.902294],[5505241476.89162],[0.6944315076514223],[0.04161232611134867],[0.41003509102924274],[0.7816922461922762]
71,71,[[1324002]],[[33019904]],[7442548.70739559],[10195927.715054128],[10118545.776470456],[25075545.154833548],[55219084.493288755],[1354351289.0412488],[4253198084.0015297],[5510165153.34729],[0.7299530670864587],[0.04077161142762199],[0.40352246437681183],[0.7718821424831189]
72,72,[[4718382]],[[33046528]],[5539436.634291296],[11708275.302885333],[11639934.988473058],[32158896.005748868],[82550149.91580789],[1279140610.1585038],[4134774149.679926],[5503864099.68866],[0.47312148809194665],[0.06453563373738776],[0.3619507021134137],[0.7512493177136805]
73,73,[[4731750]],[[32950272]],[4931452.05261052],[11460264.72646215],[11397257.642397556],[31569914.444364045],[80082676.0134797],[1353910978.624702],[4372821203.70199],[5496329160.375538],[0.4303087380890623],[0.05914914442515814],[0.36101642475094603],[0.7955893972338469]
