,index,0_throughput,1_throughput,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
93,93,[[5120766]],[[32960512]],[7286611.527597102],[12662246.291318309],[12591542.702884188],[33844530.521237485],[78093282.28607602],[1541255330.5939994],[4955200431.757466],[5512837847.007708],[0.5754596269852266],[0.05066862104929681],[0.3720406963536687],[0.8988474845939974]
94,94,[[4767350]],[[32935936]],[7505820.206406531],[12351109.10401178],[12274970.857994268],[33120527.229621198],[75944746.27193563],[1569128841.7985113],[5045070512.04123],[5576808775.938346],[0.6077041456923538],[0.04839930555663544],[0.37061520104716816],[0.9046518743494758]
95,95,[[4574822]],[[32944128]],[6803304.160225321],[11691236.203061514],[11621034.639291815],[31189580.921526674],[72624082.43256871],[1599418064.278048],[5141116735.265852],[5547701572.165971],[0.5819148670047211],[0.045406566334706286],[0.372593484616881],[0.926711119621134]
96,96,[[6188606]],[[32995328]],[9453607.736644762],[15233405.460778289],[15150607.86541184],[39037231.16926855],[90160012.00908183],[1450926462.775816],[4663917801.926986],[5519791819.412718],[0.6205840027684636],[0.06213961515085588],[0.38810662056736545],[0.8449445114078971]
97,97,[[5730146]],[[32946176]],[8608151.394840742],[14181790.5954975],[14102216.318553207],[37176897.01695679],[85687788.40342318],[1482330053.7569182],[4762574839.553776],[5539175225.106266],[0.6069862149546685],[0.05780614660429383],[0.3793274170278663],[0.8597985523128867]
98,98,[[5475513]],[[32958464]],[8169510.129523426],[13013771.88031999],[12945350.39297335],[35632098.83707283],[83170930.83455026],[1482156478.739236],[4756221303.102163],[5469508169.317624],[0.6277588238562661],[0.056114811106380474],[0.3633058622834918],[0.8695884814256616]
99,99,[[5151342]],[[32987136]],[6972038.080689812],[12508718.62421075],[12440233.390803587],[34147646.16856866],[79846244.6502893],[1551206271.3645914],[4976350039.593018],[5484578431.752095],[0.5573742835013782],[0.05147364739574499],[0.36430720083582946],[0.9073350124383727]
100,100,[[5026898]],[[32999424]],[7052901.084920856],[12190328.930148924],[12119203.944673145],[33345137.94036413],[78388981.26551357],[1593163235.0488737],[5108552876.317501],[5539393300.051417],[0.5785652811613422],[0.04920335816254812],[0.3634474077254575],[0.9222224528216985]
101,101,[[4732234]],[[33005568]],[6819917.426639649],[11724044.19529012],[11652671.640299413],[31335794.396661587],[74210150.85238294],[1596310734.9142222],[5118373917.358242],[5519184263.7245035],[0.5817034901130279],[0.04648853711828896],[0.3718645678100585],[0.9273786981527985]
102,102,[[6087134]],[[32964608]],[8969381.318861185],[14635733.888742976],[14552845.699156811],[39379032.10195363],[92781765.95889013],[1422682678.5673068],[4567165141.239285],[5496435359.241747],[0.6128412409684459],[0.0652160649431149],[0.3695582375280075],[0.8309322029158445]
103,103,[[5663670]],[[32968704]],[8078680.506533765],[13847370.95650328],[13769543.094465563],[38018414.5178093],[89536963.11661302],[1474138111.7952983],[4724939422.568475],[5522784458.159447],[0.5834089757478255],[0.06073851723945273],[0.36218088705449236],[0.8555357281031992]
104,104,[[5355722]],[[32940032]],[7489417.553890955],[12777639.561345723],[12704132.44344707],[35722266.896265075],[85724740.11183722],[1481742385.947178],[4745674964.4349985],[5490603998.452835],[0.5861346704869941],[0.05785401087587785],[0.35563623328662114],[0.8643265778723532]
105,105,[[5126438]],[[32972800]],[6992341.879999553],[12459413.965082189],[12386970.17832445],[36231701.469261564],[85983079.35654257],[1548150810.7417362],[4950441275.518144],[5539681669.57222],[0.5612095319728329],[0.05553921411270465],[0.3418820998189492],[0.8936328061428883]
106,106,[[4872942]],[[32923648]],[6486554.303766822],[11874134.926921606],[11806328.435448986],[36629478.437065996],[84744523.9101542],[1586535852.9856818],[5067273172.245437],[5529370555.588601],[0.5462759471479641],[0.05341481804566505],[0.32231767797987426],[0.9164285737955983]
107,107,[[4678770]],[[32980992]],[6063346.233186126],[11324189.548746772],[11260455.042748444],[34332376.64015161],[80743253.44406664],[1608083634.4449513],[5131606686.178806],[5487891401.244487],[0.535433128091462],[0.050210854531789396],[0.32798355793345735],[0.9350780310658323]
