,hotspot,0_throughput,1_throughput,LLC-store-misses,LLC-store,LLC-load-misses,LLC-loads,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_data_rd,L1-dcache-load-misses,L1-dcache-loads,instructions,cycles,l1d.replacement,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_MISS,llc_miss_rate,l1_miss_rate,l2_miss_rate,ipc
28,1694903180,"[[1523002, 1522840, 1522727, 1523209, 1522602, 1523165, 1523100, 1523188]]","[[1656832, 1656832, 1658880, 1656832, 1656832, 1658880, 1656832, 1656832]]",[21549148.958861817],[28590118.60738943],[61125839.795542754],[70877140.59354731],[71076469.1571437],[113270525.95887966],[259091235.82155764],[12971506096.715456],[42056613741.94896],[29442425003.05689],[259132962.76084295],[90552203.99029268],[58767006.20919511],[49211839.42093544],[0.862419664276181],[0.019973874574762195],[0.6274930619016144],[1.428435794184154]
29,1694903200,"[[1524928, 1524740, 1524284, 1524545, 1524257, 1524609, 1524684, 1524734]]","[[1658880, 1656832, 1656832, 1658880, 1656832, 1658880, 1658880, 1658880]]",[22289639.79774972],[28355470.377146088],[62831116.65772221],[71416118.92638431],[71379451.37732235],[113831583.23182477],[270264497.8067293],[11979562462.560717],[38593122774.18018],[29190683993.14133],[270845899.3571723],[90704769.49008463],[58478899.23395601],[50421777.77769497],[0.8797890112523264],[0.022560464845972208],[0.6270619221025316],[1.322104092636132]
30,1694903224,"[[1519124, 1521747, 1521395, 1521782, 1521322, 1521558, 1521703, 1521750]]","[[1656832, 1656832, 1658880, 1658880, 1656832, 1658880, 1656832, 1656832]]",[22882556.557147954],[28160832.761624753],[63895861.91795482],[71167486.41017249],[71348742.863083],[113574455.03028971],[284854066.0065013],[11004599677.232832],[35245830030.74597],[29111714321.609432],[283985537.84357387],[89868784.63561913],[58401629.338721156],[51464861.66885154],[0.8978237835982038],[0.025885000305447683],[0.628211183967862],[1.2107095322992787]
31,1694903258,"[[1526753, 1526901, 1526329, 1526749, 1526450, 1526615, 1526832, 1526528]]","[[1658880, 1656832, 1656832, 1658880, 1658880, 1656832, 1656832, 1658880]]",[23914158.942632485],[28660349.889718305],[65916155.35058487],[72467037.44857356],[72433007.37011455],[115317869.05656113],[302209733.84212875],[10248560062.636251],[32537390402.495903],[29373049052.02661],[302047152.3018637],[91198088.47661723],[59144494.570035756],[53271280.62753581],[0.9096019055196297],[0.02948801899926524],[0.6281160757019157],[1.1077294136153348]
32,1694903277,"[[1350562, 1350790, 1350597, 1350721, 1350600, 1350780, 1351024, 1350766, 1353314]]","[[1478656, 1480704, 1482752, 1482752, 1482752, 1482752, 1482752, 1482752, 1482752]]",[22133556.211482447],[28528297.513466407],[62293411.933026955],[71175090.68044682],[71184772.72353311],[112208687.76665275],[254589741.96448684],[16046433764.230152],[52431315978.650955],[32540829958.16898],[254287004.3100046],[89177721.2781207],[58377383.46054555],[49939487.342204034],[0.8752136644645002],[0.01586581452958131],[0.6343962677076105],[1.611247040903722]
33,1694903297,"[[1352056, 1351859, 1351319, 1351483, 1351522, 1351679, 1351670, 1351458, 1352943]]","[[1478656, 1474560, 1474560, 1472512, 1472512, 1474560, 1474560, 1474560, 1474560]]",[22930903.092700716],[28644907.129810624],[64914984.10205556],[72725487.70528689],[72388424.73290327],[116502139.94691171],[273216856.01393676],[15182487929.184471],[49407856226.12115],[32653631522.13422],[272582243.6214985],[91853740.03583059],[58584803.01038038],[51496820.2160647],[0.8926029394964987],[0.017995525982849415],[0.6213484556239877],[1.5130891702697784]
34,1694903322,"[[1344590, 1344886, 1344386, 1344852, 1344560, 1344753, 1344794, 1344696, 1344740]]","[[1476608, 1478656, 1476608, 1476608, 1478656, 1476608, 1478656, 1480704, 1478656]]",[23474695.558400083],[28445201.01970447],[65716673.42764584],[72504368.41599634],[72256065.04978617],[114939980.34352139],[284136304.87876505],[14355855022.714466],[46533977413.75999],[32565084828.25452],[283827001.47069055],[90388815.34799598],[58271078.36699573],[52224121.26263392],[0.9063822616948283],[0.019792363772773693],[0.628641703555493],[1.428953053835917]
35,1694903360,"[[1358647, 1358965, 1358430, 1358955, 1358593, 1358793, 1358787, 1358794, 1358804]]","[[1474560, 1474560, 1474560, 1474560, 1474560, 1474560, 1474560, 1474560, 1474560]]",[24300832.233415168],[28705594.313494515],[67188911.02558447],[72289864.16547088],[72513780.1031072],[115705999.24198854],[301162059.0657978],[13466247331.333794],[43355890992.276184],[32544741255.31611],[300847551.19905627],[91096578.20101136],[59101207.85777763],[53806110.46867462],[0.9294375055372857],[0.02236421563155476],[0.6267071766214235],[1.3321934456982079]
36,1694903379,"[[1223365, 1223117, 1223026, 1223300, 1222864, 1223149, 1223192, 1223099, 1223122, 1223137]]","[[1331200, 1331200, 1331200, 1331200, 1329152, 1329152, 1329152, 1331200, 1331200, 1327104]]",[22512508.72645205],[28576334.302670833],[63046287.914705314],[71551570.69350864],[71414433.08125919],[113254933.01565711],[257514101.65705112],[19109369119.878647],[62718770189.937386],[35842451118.26608],[257010133.75930518],[90255633.56522177],[58641959.72330045],[50823776.746989414],[0.8811307327516857],[0.013475803415674795],[0.6305635540960179],[1.7498460131253288]
37,1694903401,"[[1221982, 1221941, 1221705, 1221830, 1221716, 1221994, 1221917, 1221892, 1221943, 1221935]]","[[1331200, 1329152, 1329152, 1329152, 1329152, 1327104, 1329152, 1327104, 1327104, 1327104]]",[23343117.40571548],[28632491.872757908],[65172300.24023577],[72280031.08383995],[72194482.73879655],[114172526.3330557],[271871221.6437804],[18255892358.05374],[59736684086.944435],[35922499814.78562],[271564002.1736781],[90359648.24481286],[58860319.85068299],[52328156.99808973],[0.9016639763842976],[0.014892244997481163],[0.632327978170476],[1.6629322679363463]
38,1694903427,"[[1221859, 1221946, 1221799, 1221859, 1221483, 1221914, 1221892, 1221798, 1221619, 1221967]]","[[1331200, 1329152, 1327104, 1327104, 1327104, 1331200, 1331200, 1331200, 1331200, 1331200]]",[23961339.020120807],[28567025.416836794],[66145397.32019352],[72359805.70926401],[72206798.56934889],[114069487.94071636],[284902953.4012505],[17382157126.27893],[56631236404.46191],[35828889910.2847],[285182709.98685336],[90055940.24974732],[58787533.346302636],[53297265.96375742],[0.9141179508684767],[0.01639054067521485],[0.6330071246298209],[1.5806025960130539]
39,1694903469,"[[1218922, 1218982, 1218897, 1219054, 1218688, 1219120, 1218977, 1218967, 1218823, 1219060]]","[[1327104, 1329152, 1327104, 1329152, 1327104, 1329152, 1327104, 1327104, 1327104, 1327104]]",[24626484.544313706],[28701283.857571416],[67342752.4229988],[72666465.12141971],[72567506.11972287],[116108773.775585],[302749789.72389233],[16724973795.375923],[54290222905.212135],[36029945771.701675],[302734383.306731],[91530273.38883449],[59033739.45937269],[54388251.70090715],[0.9267376954483003],[0.01810166003414581],[0.6249958875629962],[1.5068083435155288]
