# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 5627536727
#
# Overhead  Command       Shared Object            Symbol                                   
# ........  ............  .......................  .........................................
#
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] run_posix_cpu_timers
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] error_entry
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] update_vsyscall
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] __acct_update_integrals
     0.03%  rte-worker-2  nflr                     [.] cuckoo_hash_second_test
     0.03%  rte-worker-2  [kernel.kallsyms]        [k] ksoftirqd_running
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __next_base
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] sync_regs
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] arch_scale_freq_tick
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] hrtimer_active
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] __lock_text_start
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] change_pte_range
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] smp_call_function_many_cond
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] ktime_get
     0.02%  rte-worker-2  [kernel.kallsyms]        [k] x86_pmu_disable
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] timekeeping_update
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] rb_erase
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] rb_insert_color
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] read_tsc
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] timerqueue_add
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] update_fast_timekeeper
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] calc_global_load_tick
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] check_preempt_curr
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] native_write_msr
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.01%  rte-worker-2  [kernel.kallsyms]        [k] account_process_tick
     0.00%  perf          [kernel.kallsyms]        [k] __virt_addr_valid
     0.00%  perf          [kernel.kallsyms]        [k] native_flush_tlb_one_user
     0.00%  perf          [kernel.kallsyms]        [k] native_apic_mem_write
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
