# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 533473197
#
# Overhead  Command       Shared Object            Symbol                                    
# ........  ............  .......................  ..........................................
#
     0.09%  swapper       [kernel.kallsyms]        [k] enqueue_entity
     0.09%  rte-worker-2  [kernel.kallsyms]        [k] copyin
     0.09%  swapper       [kernel.kallsyms]        [k] reweight_entity
     0.09%  swapper       [kernel.kallsyms]        [k] psi_task_switch
     0.09%  swapper       [kernel.kallsyms]        [k] rcu_core
     0.09%  rte-worker-2  librte_hash.so.23.0      [.] rte_hash_lookup
     0.08%  swapper       [kernel.kallsyms]        [k] update_rq_clock
     0.08%  swapper       [kernel.kallsyms]        [k] native_irq_return_iret
     0.08%  rte-worker-2  librte_net_mlx5.so.23.0  [.] mlx5_rx_burst_vec
     0.06%  perf          [kernel.kallsyms]        [k] __sched_setaffinity
     0.05%  rte-worker-2  [kernel.kallsyms]        [k] __fdget_pos
     0.00%  perf          [kernel.kallsyms]        [k] __set_pte_vaddr
     0.00%  perf          [kernel.kallsyms]        [k] native_sched_clock
     0.00%  perf          [kernel.kallsyms]        [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
